,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR6723,24.5560994567964,-2.17160962565992,0.445460232720543,-4.87497977630309,1.08819602734059e-06,0.00428945009771165
MTRNR2L2,5.5057796660625,-2.42645333320244,0.572045661088542,-4.24171267829418,2.21820551472642e-05,0.0104224178643927
MTRNR2L9,3.62804905647503,-2.65416088925833,0.676383675669999,-3.92404634341482,8.70739738143507e-05,0.0208610490965948
